typnam,stacknam,technonam
CAST_DotNet_UnaryOperatorVB,.NET,VB.NET
CAST_DotNet_GenericMethodVB,.NET,VB.NET
CAST_DotNet_InstantiatedGenericMethodVB,.NET,VB.NET
CAST_DotNet_MethodVB,.NET,VB.NET
CAST_DotNet_EventRaiseVB,.NET,VB.NET
CAST_DotNet_EventRemoveonVB,.NET,VB.NET
CAST_DotNet_EventAddonVB,.NET,VB.NET
CAST_DotNet_ConstantVB,.NET,VB.NET
CAST_DotNet_EventVB,.NET,VB.NET
CAST_DotNet_FieldVB,.NET,VB.NET
CAST_DotNet_FieldVBCustomControl,.NET,VB.NET
CAST_DotNet_FieldVBServerControl,.NET,VB.NET
CAST_DotNet_ModuleVB,.NET,VB.NET
CAST_DotNet_InstantiatedGenericClassVB,.NET,VB.NET
CAST_DotNet_GenericClassVB,.NET,VB.NET
CAST_Forms_ObjectLibrary,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Trigger,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Menu,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PlsqlModule,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_ModuleParameter,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Editor,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_ModuleParameter_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_MenuModule,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_VisualAttributes,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PopupMenuItem,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Editor_Tab,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PropertyClass,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_MenuItem,Oracle Entreprise Solutions,Oracle Forms/Reports
PeopleSoftProject,Oracle Entreprise Solutions,PeopleSoft
FORMS_RDF_LAYOUT_MODEL,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_HEADER,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_TRAILER,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BODY,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_MARGIN,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_REPEATING_FRAME,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_FRAME,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_FIELD,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_TEXT,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_BPEL_Invoke,Oracle Entreprise Solutions,BPEL
FORMS_RDF_BP_POLYGONE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_POLYLINE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_FREEHAND,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_LINE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_RECTANGLE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_ROUNDED_RECTANGLE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_ELLIPSE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_ARC,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_IMAGE,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BP_UNKNOWN,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_BUTTON,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_CHART,Oracle Entreprise Solutions,Oracle Forms/Reports
FORMS_RDF_PROGRAM_UNIT,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Procedure,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PrivateProcedure,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Function,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PrivateFunction,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_Package,Oracle Entreprise Solutions,Oracle Forms/Reports
CAST_Forms_PackageBody,Oracle Entreprise Solutions,Oracle Forms/Reports
PSoft_AESection,Oracle Entreprise Solutions,PeopleSoft
PSoft_AESectionMarket,Oracle Entreprise Solutions,PeopleSoft
PSoft_AEStep,Oracle Entreprise Solutions,PeopleSoft
PSoft_AEActionCall,Oracle Entreprise Solutions,PeopleSoft
PSoft_AEActionXSLT,Oracle Entreprise Solutions,PeopleSoft
PSoft_AEActionMessage,Oracle Entreprise Solutions,PeopleSoft
PSoft_AEActionSQL,Oracle Entreprise Solutions,PeopleSoft
PSoft_AEActionP,Oracle Entreprise Solutions,PeopleSoft
PSoft_MessageNode,Oracle Entreprise Solutions,PeopleSoft
PSoft_MsgChannel,Oracle Entreprise Solutions,PeopleSoft
PSoft_Message,Oracle Entreprise Solutions,PeopleSoft
PSoft_MsgSubscription,Oracle Entreprise Solutions,PeopleSoft
PSoft_MessageEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_SubscriptionEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_CompInterfaceEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentInterfaceProp1,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentInterfaceUserProp1,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentInterfaceProp2,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentInterfaceUserProp2,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentInterfaceProp3,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentInterfaceUserProp3,Oracle Entreprise Solutions,PeopleSoft
PSoft_CompIntPropEvent1,Oracle Entreprise Solutions,PeopleSoft
PSoft_CompIntPropEvent2,Oracle Entreprise Solutions,PeopleSoft
PSoft_CompIntPropEvent3,Oracle Entreprise Solutions,PeopleSoft
PSoft_PageEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentRecordEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_ComponentRecordFieldEvent,Oracle Entreprise Solutions,PeopleSoft
PSoft_StyleSheet,Oracle Entreprise Solutions,PeopleSoft
PSoft_HTML,Oracle Entreprise Solutions,PeopleSoft
PSoft_PermissionList,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthItem,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthBusComp,Oracle Entreprise Solutions,PeopleSoft
PSoft_AuthCnhlMon,Oracle Entreprise Solutions,PeopleSoft
PSoft_Environment,Oracle Entreprise Solutions,PeopleSoft
PSoft_Module,Oracle Entreprise Solutions,PeopleSoft
PSoftDisplayType,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordTable,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordView,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordDerived,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordSub,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordDynamic,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordQuery,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordTemp,Oracle Entreprise Solutions,PeopleSoft
CAST_Forms_DataBlock,Oracle Entreprise Solutions,Oracle Forms/Reports
PSoft_RecordFields,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordIndex,Oracle Entreprise Solutions,PeopleSoft
PSoft_RecordFieldDBs,Oracle Entreprise Solutions,PeopleSoft
PSoft_DBField,Oracle Entreprise Solutions,PeopleSoft
