id,typnam,familyicon,genericicon
141700,CAST_DotNet_MethodPrototype,Function,FunctionGreen
141724,CAST_DotNet_GenericClassVB,Class,Class
141725,CAST_DotNet_InstantiatedGenericClassVB,Class,ClassInstance
141726,CAST_DotNet_TypeParameterVB,Variable,Variable
141727,CAST_DotNet_GenericInterfaceVB,Category,Interface
141729,CAST_DotNet_InstantiatedGenericInterfaceVB,Category,Interface
141731,CAST_DotNet_GenericStructureVB,Category,Category
141732,CAST_DotNet_InstantiatedGenericStructureVB,Class,ClassInstance
141733,CAST_DotNet_EnumerationItemVB,EnumItem,EnumItem
141734,CAST_DotNet_GenericDelegateVB,Package,Module
141735,CAST_DotNet_InstantiatedGenericDelegateVB,Package,Module
141736,CAST_DotNet_EventVB,EventHandler,EventHandler
141737,CAST_DotNet_EventAddonVB,Function,FunctionGreen
141738,CAST_DotNet_EventRemoveonVB,Function,FunctionGreen
141740,CAST_DotNet_FieldVBServerControl,UIView,UIView
141745,CAST_DotNet_GenericMethodVB,Function,FunctionGreen
141746,CAST_DotNet_InstantiatedGenericMethodVB,Function,FunctionGreen
141747,CAST_DotNet_IndexerVB,Index,Index
141748,CAST_DotNet_IndexerSetterVB,Index,Index
141749,CAST_DotNet_IndexerGetterVB,Index,Index
141751,CAST_ASETSQL_ExternalDatabase,Database,DatabaseExternal
141752,CAST_MSTSQL_ExternalDatabase,Database,DatabaseExternal
141783,CAST_ASETSQL_ExternalInstance,Database,Instance
141784,CAST_MSTSQL_ExternalInstance,Database,Instance
141799,CAST_DotNet_EventRaiseVB,Function,FunctionGreen
141842,CAST_DotNet_FieldCSharpCustomControl,UIView,UIView
141845,CAST_DotNet_FieldExternalCustomControl,UIView,UIViewExternal
141846,CAST_DotNet_FieldVBCustomControl,UIView,UIView
141906,CAST_JEE_SpringBeanProperty,Variable,Variable
142034,CAST_Java_Lambda,Lambda,Lambda
142072,CAST_COBOL_NestedProgram,Program,Program
142074,CDI_BEAN,Beans,Beans
142097,CAST_DotNet_SOAP_Proxy,ResourceServicePost,ResourceServicePost
142098,CAST_DotNet_SOAP_Server,ResourceServicePost,ResourceServicePost
142121,CAST_JEE_SINGLETON,Class,Class
142123,CAST_SQL_NamedStoredProcedureQuery,SQLNamedQuery,SQLNamedQuery
142175,CAST_JEE_Spring_Batch_Job,Process,ProcessGreen
142176,CAST_JEE_Spring_Batch_Step,Process,ProcessGreen
142238,CAST_BO_Folder,Folder,FolderLightBlue
142265,CAST_SpringData_UnknownTable,Schema,UnknownSchema
142266,CAST_RabbitMQ_Java_Exchange,QueueCall,QueueCall
142267,CAST_RabbitMQ_Java_Queue,QueueReceive,QueueReceive
142273,CAST_RabbitMQ_Python_Exchange,QueueCall,QueueCall
142274,CAST_RabbitMQ_Python_Queue,QueueReceive,QueueReceive
142278,CAST_IBMMQ_Java_QueueCall,QueueCall,QueueCall
142279,CAST_IBMMQ_Java_QueueReceive,QueueReceive,QueueReceive
142300,CAST_IBMMQ_Python_QueueCall,QueueCall,QueueCall
142301,CAST_IBMMQ_Python_QueueReceive,QueueReceive,QueueReceive
142302,CAST_SpringSecurity_Configuration,File,File_Grey
142313,CAST_JAXRS_GetResourceService,ResourceServiceGet,ResourceServiceGet
142349,CAST_C_SQLQuery,SQLNamedQuery,SQLNamedQuery
142367,CAST_COBOL_MQ_Publisher,QueueCall,QueueCall
142375,CAST_COBOL_MQ_Subscriber,QueueReceive,QueueReceive
142380,CAST_DotNet_Executable,Package,Application_DotNet
142388,SAPCDSView,Service,ServiceBlue
142412,CAST_IMS_TransactionFile,File,File_Grey
142414,CAST_IMS_Transaction,Cursor,CursorRed
142417,CAST_JCL_SQLQuery,SQLNamedQuery,SQLNamedQuery
142418,CAST_Java_Service_CallToGet,ResourceServiceGet,ResourceServiceGet
