typnam,concept
CAST_DotNet_IndexerSetterVB,Property Setter
CAST_DotNet_Memcached_Connection,Storage Connection
CAST_DotNet_Memcached_Data,Collection
CAST_DotNet_MongoDB_Collection,Collection
CAST_DotNet_MongoDB_Collection,Data Source
CAST_DotNet_MongoDB_Connection,Storage Connection
CAST_DotNet_MongoDB_Database,Schema
CAST_DotNet_NHibernate_Entity_Operation,Data Object
CAST_DotNet_ODataClient_DeleteHttpRequestService,Web Services Call
CAST_DotNet_ODataClient_GetHttpRequestService,Web Services Call
CAST_DotNet_PatchOperation,Exposed Web Services
CAST_DotNet_PostOperation,Exposed Web Services
CAST_DotNet_PropertyGetterCSharp,Property Getter
CAST_DotNet_PropertyGetterExternal,Property Getter
CAST_DotNet_PropertyGetterVB,Property Getter
CAST_DotNet_PropertySetterCSharp,Property Setter
CAST_DotNet_PropertySetterExternal,Property Setter
CAST_DotNet_PropertySetterVB,Property Setter
CAST_DotNet_PutOperation,Exposed Web Services
CAST_DotNet_Redis_Collection,Collection
CAST_DotNet_Redis_Collection,Data Source
CAST_DotNet_Redis_Connection,Storage Connection
CAST_DotNet_SOAP_Proxy,Exposed Web Services
CAST_DotNet_SOAP_Server,Exposed Web Services
CAST_DotNet_Unknown_CosmosDB_Collection,Collection
CAST_DotNet_Unknown_CosmosDB_Database,Schema
CAST_DotNet_Unknown_Couchbase_Bucket,Collection
CAST_DotNet_Unknown_Couchbase_Cluster,Schema
CAST_DotNet_Unknown_Couchbase_Collection,Collection
CAST_DotNet_Unknown_DynamoDB_Client,Schema
CAST_DotNet_Unknown_DynamoDB_Table,Collection
CAST_DotNet_Unknown_Elasticsearch_Index,Collection
CAST_DotNet_Unknown_Memcached_Connection,Storage Connection
CAST_DotNet_Unknown_Memcached_Data,Collection
CAST_DotNet_Unknown_MongoDB_Collection,Collection
CAST_DotNet_Unknown_MongoDB_Connection,Storage Connection
CAST_DotNet_Unknown_MongoDB_Database,Schema
CAST_DotNet_Unknown_Redis_Collection,Collection
CAST_DotNet_Unknown_Redis_Connection,Storage Connection
CAST_Dotnet_Service_CallToDelete,Web Services Call
CAST_Dotnet_Service_CallToGet,Web Services Call
CAST_Dotnet_Service_CallToPatch,Web Services Call
CAST_Dotnet_Service_CallToPost,Web Services Call
CAST_Dotnet_Service_CallToPut,Web Services Call
CAST_EAD4J_Operation,Web Services
CAST_Forms_Alert,UI
CAST_Forms_Alert_Tab,UI
CAST_Forms_Canvas_Tab,UI
CAST_Forms_Menu,UI
CAST_Forms_MenuItem,UI
CAST_Forms_MenuItem_Tab,UI
CAST_Forms_PopupMenuItem,UI
CAST_Forms_PrivateProcedure,Procedure
CAST_Forms_Procedure,Procedure
CAST_Forms_Procedure_Tab,Procedure
CAST_Forms_Trigger,Trigger
CAST_Forms_Trigger,Data Object
CAST_Forms_Trigger_Tab,Data Object
CAST_Forms_Trigger_Tab,Trigger
CAST_Forms_VisualAttributes,UI
CAST_Forms_VisualAttributes_Tab,UI
CAST_Forms_Window,UI
CAST_Forms_Window_Tab,UI
CAST_GWT_DeleteResourceService,Web Services Call
CAST_GWT_GetResourceService,Web Services Call
CAST_GWT_PostResourceService,Web Services Call
CAST_GWT_PutResourceService,Web Services Call
CAST_GWT_RemoteOperation,Exposed Web Services
CAST_GWT_RemoteResourceService,Web Services Call
CAST_GWT_View,UI
CAST_HTML5_DeleteHttpRequestService,Web Services Call
CAST_HTML5_DeleteXMLHttpRequestService,Web Services Call
CAST_HTML5_GetEventSourceService,Web Services Call
CAST_HTML5_GetHttpRequestService,Web Services Call
CAST_HTML5_GetXMLHttpRequestService,Web Services Call
CAST_HTML5_JavaScript_Constructor,Class Constructor
CAST_HTML5_PostHttpRequestService,Web Services Call
CAST_HTML5_PostXMLHttpRequestService,Web Services Call
CAST_HTML5_PutHttpRequestService,Web Services Call
CAST_HTML5_Razor_GetService,Web Services Call
CAST_HTML5_Razor_PostService,Web Services Call
CAST_HTML5_UpdateXMLHttpRequestService,Web Services Call
CAST_HTML5_WebSocketService,Web Services
CAST_HYBRIS_DeleteHttpRequestService,Web Services Call
CAST_HYBRIS_GetHttpRequestService,Web Services Call
CAST_HYBRIS_PostHttpRequestService,Web Services Call
CAST_HYBRIS_PutHttpRequestService,Web Services Call
CAST_IBMMQ_Java_QueueCall,Message Queue Publisher
CAST_IBMMQ_Java_QueueReceive,Message Queue Subscriber
CAST_IBMMQ_Java_TopicCall,Message Queue Publisher
CAST_IBMMQ_Java_TopicReceive,Message Queue Subscriber
CAST_IBMMQ_Java_Unknown_QueueCall,Message Queue Publisher
CAST_IBMMQ_Java_Unknown_QueueReceive,Message Queue Subscriber
CAST_IBMMQ_Java_Unknown_TopicCall,Message Queue Publisher
CAST_IBMMQ_Java_Unknown_TopicReceive,Message Queue Subscriber
CAST_IMS_AnalyzedSegment,Data Source
CAST_IMS_SegmentPrototype,Data Source
CAST_JAXRS_DeleteOperation,Exposed Web Services
CAST_JAXRS_GetOperation,Exposed Web Services
CAST_JAXRS_GetResourceService,Web Services Call
CAST_JAXRS_PostOperation,Exposed Web Services
CAST_JAXRS_PutOperation,Exposed Web Services
CAST_JAXRS_Service,Web Services
CAST_JCL_CatalogedProcedure,Procedure
CAST_JCL_Dataset,Data Source
CAST_JCL_ProcedurePrototype,Procedure
CAST_JCL_ResolvedDataset,Data Source
CAST_JCL_SQLQuery,Data Query
CAST_JFace_UI,UI
CAST_JMS_Java_QueueCall,Message Queue Publisher
CAST_JMS_Java_QueueReceive,Message Queue Subscriber
CAST_JMS_Java_TopicCall,Message Queue Publisher
CAST_JMS_Java_TopicReceive,Message Queue Subscriber
CAST_JMS_Java_Unknown_QueueCall,Message Queue Publisher
CAST_JMS_Java_Unknown_QueueReceive,Message Queue Subscriber
CAST_JMS_Java_Unknown_TopicCall,Message Queue Publisher
CAST_JMS_Java_Unknown_TopicReceive,Message Queue Subscriber
CAST_JQuery_DeleteResourceService,Web Services Call
CAST_JQuery_GetResourceService,Web Services Call
CAST_JQuery_PostResourceService,Web Services Call
CAST_JQuery_PutResourceService,Web Services Call
CAST_Java_Cassandra_Operation,Data Object
CAST_Java_CosmosDB_Collection,Data Source
CAST_Java_CosmosDB_Collection,Collection
CAST_Java_CosmosDB_Database,Schema
CAST_Java_CouchDB_Collection,Data Source
CAST_Java_CouchDB_Collection,Collection
CAST_Java_CouchDB_Connection,Storage Connection
CAST_Java_CouchDB_Database,Schema
CAST_Java_Couchbase_Bucket,Collection
CAST_Java_Couchbase_Bucket,Data Source
CAST_Java_Couchbase_Cluster,Schema
CAST_Java_Couchbase_Collection,Collection
CAST_Java_Couchbase_NewCollection,Collection
CAST_Java_Couchbase_NewCollection,Data Source
CAST_Java_DynamoDB_Client,Schema
CAST_Java_DynamoDB_Table,Collection
CAST_Java_DynamoDB_Table,Data Source
CAST_Java_Elasticsearch_Cluster,Storage Connection
CAST_Java_Elasticsearch_Index,Collection
CAST_Java_Elasticsearch_Index,Data Source
CAST_Java_GCP_Bigtable_Table,Data Source
CAST_Java_GCP_CloudStorage_Bucket,Data Source
CAST_Java_JOOQ_Entity_Operation,Data Object
CAST_Java_JPA_Entity_Operation,Data Object
CAST_Java_MarkLogic_Collection,Collection
CAST_Java_MarkLogic_Collection,Data Source
CAST_Java_MarkLogic_Database,Schema
CAST_Java_Memcached_Connection,Storage Connection
CAST_Java_MongoDB_Collection,Collection
CAST_Java_MongoDB_Collection,Data Source
CAST_Java_MongoDB_Connection,Storage Connection
CAST_Java_MongoDB_Database,Schema
CAST_Java_Redis_Collection,Collection
CAST_Java_Redis_Collection,Data Source
CAST_Java_Redis_Connection,Storage Connection
CAST_Java_Service_CallToDelete,Web Services Call
CAST_Java_Service_CallToGet,Web Services Call
CAST_Java_Service_CallToPost,Web Services Call
CAST_Java_Service_CallToPut,Web Services Call
CAST_Java_Unknown_CosmosDB_Collection,Collection
CAST_Java_Unknown_CosmosDB_Database,Schema
CAST_Java_Unknown_CouchDB_Collection,Collection
CAST_Java_Unknown_CouchDB_Connection,Storage Connection
CAST_Java_Unknown_CouchDB_Database,Schema
CAST_Java_Unknown_Couchbase_Bucket,Collection
CAST_Java_Unknown_Couchbase_Cluster,Schema
CAST_Java_Unknown_Couchbase_Collection,Collection
CAST_Java_Unknown_Couchbase_NewCollection,Data Source
CAST_Java_Unknown_Couchbase_NewCollection,Collection
CAST_Java_Unknown_DynamoDB_Client,Schema
CAST_Java_Unknown_DynamoDB_Table,Collection
CAST_Java_Unknown_Elasticsearch_Cluster,Schema
CAST_Java_Unknown_Elasticsearch_Index,Collection
CAST_Java_Unknown_MarkLogic_Collection,Collection
CAST_Java_Unknown_Memcached_Connection,Storage Connection
CAST_Java_Unknown_MongoDB_Collection,Collection
CAST_Java_Unknown_MongoDB_Connection,Storage Connection
CAST_Java_Unknown_Redis_Collection,Collection
CAST_Java_Unknown_Redis_Connection,Storage Connection
CAST_Kotlin_DeleteHttpRequestService,Web Services Call
CAST_Kotlin_GetHttpRequestService,Web Services Call
CAST_Kotlin_PostHttpRequestService,Web Services Call
CAST_Kotlin_PutHttpRequestService,Web Services Call
CAST_Kotlin_WebService_DeleteOperation,Exposed Web Services
