typnam,catnamparent
CAST_Dotnet_Service_CallToPatch,CAST_PostResourceService
CAST_Dotnet_Service_CallToPost,CAST_ResourceService
CAST_Dotnet_Service_CallToPost,CAST_PostResourceService
CAST_Dotnet_Service_CallToPut,CAST_ResourceService
CAST_Dotnet_Service_CallToPut,CAST_PutResourceService
CAST_EAD4J_Operation,CAST_WebService_Operation
CAST_EAD4J_Operation,CAST_WebService_AnyOperation
CAST_GWT_DeleteResourceService,CAST_ResourceService
CAST_GWT_DeleteResourceService,CAST_DeleteResourceService
CAST_GWT_GetResourceService,CAST_ResourceService
CAST_GWT_GetResourceService,CAST_GetResourceService
CAST_GWT_PostResourceService,CAST_ResourceService
CAST_GWT_PostResourceService,CAST_PostResourceService
CAST_GWT_PutResourceService,CAST_ResourceService
CAST_GWT_PutResourceService,CAST_PutResourceService
CAST_HTML5_DeleteHttpRequestService,CAST_ResourceService
CAST_HTML5_DeleteHttpRequestService,CAST_DeleteResourceService
CAST_HTML5_DeleteXMLHttpRequestService,CAST_ResourceService
CAST_HTML5_DeleteXMLHttpRequestService,CAST_DeleteResourceService
CAST_HTML5_GetEventSourceService,CAST_ResourceService
CAST_HTML5_GetEventSourceService,CAST_GetResourceService
CAST_HTML5_GetHttpRequestService,CAST_ResourceService
CAST_HTML5_GetHttpRequestService,CAST_GetResourceService
CAST_HTML5_GetXMLHttpRequestService,CAST_ResourceService
CAST_HTML5_GetXMLHttpRequestService,CAST_GetResourceService
CAST_HTML5_PostHttpRequestService,CAST_ResourceService
CAST_HTML5_PostHttpRequestService,CAST_PostResourceService
CAST_HTML5_PostXMLHttpRequestService,CAST_ResourceService
CAST_HTML5_PostXMLHttpRequestService,CAST_PostResourceService
CAST_HTML5_PutHttpRequestService,CAST_ResourceService
CAST_HTML5_PutHttpRequestService,CAST_PutResourceService
CAST_HTML5_Razor_DeleteService,CAST_ResourceService
CAST_HTML5_Razor_DeleteService,CAST_DeleteResourceService
CAST_HTML5_Razor_GetService,CAST_ResourceService
CAST_HTML5_Razor_GetService,CAST_GetResourceService
CAST_HTML5_Razor_PostService,CAST_ResourceService
CAST_HTML5_Razor_PostService,CAST_PostResourceService
CAST_HTML5_UpdateXMLHttpRequestService,CAST_ResourceService
CAST_HTML5_UpdateXMLHttpRequestService,CAST_PutResourceService
CAST_HTML5_WebSocketService,CAST_ResourceService
CAST_HTML5_WebSocketService,CAST_PostResourceService
CAST_HYBRIS_DeleteHttpRequestService,CAST_ResourceService
CAST_HYBRIS_DeleteHttpRequestService,CAST_DeleteResourceService
CAST_HYBRIS_GetHttpRequestService,CAST_ResourceService
CAST_HYBRIS_GetHttpRequestService,CAST_GetResourceService
CAST_HYBRIS_PostHttpRequestService,CAST_ResourceService
CAST_HYBRIS_PostHttpRequestService,CAST_PostResourceService
CAST_HYBRIS_PutHttpRequestService,CAST_ResourceService
CAST_HYBRIS_PutHttpRequestService,CAST_PutResourceService
CAST_IBMMQ_Java_QueueCall,CAST_IBM_MQ_Publisher
CAST_IBMMQ_Java_QueueReceive,CAST_IBM_MQ_Subscriber
CAST_IBMMQ_Java_TopicCall,CAST_IBM_MQ_Publisher
CAST_IBMMQ_Java_TopicReceive,CAST_IBM_MQ_Subscriber
CAST_IBMMQ_Python_QueueCall,CAST_MQE_QueueCall
CAST_IBMMQ_Python_QueueReceive,CAST_MQE_QueueReceive
CAST_JAXRS_DeleteOperation,CAST_WebService_Operation
CAST_JAXRS_DeleteOperation,CAST_WebService_DeleteOperation
CAST_JAXRS_GetOperation,CAST_WebService_Operation
CAST_JAXRS_GetOperation,CAST_WebService_GetOperation
CAST_JAXRS_GetResourceService,CAST_ResourceService
CAST_JAXRS_GetResourceService,CAST_GetResourceService
CAST_JAXRS_PostOperation,CAST_WebService_Operation
CAST_JAXRS_PostOperation,CAST_WebService_PostOperation
CAST_JAXRS_PutOperation,CAST_WebService_Operation
CAST_JAXRS_PutOperation,CAST_WebService_PutOperation
CAST_JMS_Java_QueueCall,CAST_MQE_QueueCall
CAST_JMS_Java_QueueReceive,CAST_MQE_QueueReceive
CAST_JMS_Java_TopicCall,CAST_RabbitMQ_Exchange
CAST_JMS_Java_TopicReceive,CAST_RabbitMQ_Queue
CAST_JQuery_DeleteResourceService,CAST_ResourceService
CAST_JQuery_DeleteResourceService,CAST_DeleteResourceService
CAST_JQuery_GetResourceService,CAST_ResourceService
CAST_JQuery_GetResourceService,CAST_GetResourceService
CAST_JQuery_PostResourceService,CAST_ResourceService
CAST_JQuery_PostResourceService,CAST_PostResourceService
CAST_JQuery_PutResourceService,CAST_ResourceService
CAST_JQuery_PutResourceService,CAST_PutResourceService
CAST_Java2Program_GeneralCall,CAST_CallToProgram
CAST_Java2Program_JavaCall,CAST_CallToJavaProgram
CAST_Java_Service_CallToDelete,CAST_ResourceService
CAST_Java_Service_CallToDelete,CAST_DeleteResourceService
CAST_Java_Service_CallToGet,CAST_ResourceService
CAST_Java_Service_CallToGet,CAST_GetResourceService
CAST_Java_Service_CallToPatch2,CAST_ResourceService
CAST_Java_Service_CallToPatch2,CAST_PostResourceService
CAST_Java_Service_CallToPost,CAST_ResourceService
CAST_Java_Service_CallToPost,CAST_PostResourceService
CAST_Java_Service_CallToPut,CAST_ResourceService
CAST_Java_Service_CallToPut,CAST_PutResourceService
CAST_Kotlin_DeleteHttpRequestService,CAST_ResourceService
CAST_Kotlin_DeleteHttpRequestService,CAST_DeleteResourceService
CAST_Kotlin_GetHttpRequestService,CAST_ResourceService
CAST_Kotlin_GetHttpRequestService,CAST_GetResourceService
CAST_Kotlin_PostHttpRequestService,CAST_ResourceService
CAST_Kotlin_PostHttpRequestService,CAST_PostResourceService
CAST_Kotlin_PutHttpRequestService,CAST_ResourceService
CAST_Kotlin_PutHttpRequestService,CAST_PutResourceService
CAST_Kotlin_WebService_DeleteOperation,CAST_WebService_Operation
CAST_Kotlin_WebService_DeleteOperation,CAST_WebService_DeleteOperation
CAST_Kotlin_WebService_GetOperation,CAST_WebService_Operation
CAST_Kotlin_WebService_GetOperation,CAST_WebService_GetOperation
CAST_Kotlin_WebService_PostOperation,CAST_WebService_Operation
CAST_Kotlin_WebService_PostOperation,CAST_WebService_PostOperation
CAST_Kotlin_WebService_PutOperation,CAST_WebService_Operation
CAST_Kotlin_WebService_PutOperation,CAST_WebService_PutOperation
CAST_NodeJS_AWS_Lambda,CAST_AWS_Lambda
CAST_NodeJS_AWS_Lambda_Function_ANY,CAST_WebService_Operation
CAST_NodeJS_AWS_Lambda_Function_ANY,CAST_AWS_Lambda
CAST_NodeJS_AWS_Lambda_Function_ANY,CAST_WebService_AnyOperation
CAST_NodeJS_AWS_Lambda_Function_DELETE,CAST_WebService_Operation
CAST_NodeJS_AWS_Lambda_Function_DELETE,CAST_AWS_Lambda
CAST_NodeJS_AWS_Lambda_Function_DELETE,CAST_WebService_DeleteOperation
CAST_NodeJS_AWS_Lambda_Function_GET,CAST_WebService_Operation
CAST_NodeJS_AWS_Lambda_Function_GET,CAST_AWS_Lambda
CAST_NodeJS_AWS_Lambda_Function_GET,CAST_WebService_GetOperation
CAST_NodeJS_AWS_Lambda_Function_POST,CAST_WebService_Operation
CAST_NodeJS_AWS_Lambda_Function_POST,CAST_AWS_Lambda
CAST_NodeJS_AWS_Lambda_Function_POST,CAST_WebService_PostOperation
CAST_NodeJS_AWS_Lambda_Function_PUT,CAST_WebService_Operation
CAST_NodeJS_AWS_Lambda_Function_PUT,CAST_AWS_Lambda
CAST_NodeJS_AWS_Lambda_Function_PUT,CAST_WebService_PutOperation
CAST_NodeJS_AWS_SNS_Publisher,CAST_AWS_SNS_Publisher
CAST_NodeJS_AWS_SNS_Subscriber,CAST_AWS_SNS_Subscriber
CAST_NodeJS_AWS_SQS_Publisher,CAST_AWS_SQS_Sender
CAST_NodeJS_AWS_SQS_Receiver,CAST_AWS_SQS_Receiver
CAST_NodeJS_AnyOperation,CAST_WebService_Operation
CAST_NodeJS_AnyOperation,CAST_WebService_AnyOperation
CAST_NodeJS_Azure_ServiceBus_Publisher,CAST_Azure_ServiceBus_Publisher
CAST_NodeJS_Azure_ServiceBus_Receiver,CAST_Azure_ServiceBus_Receiver
CAST_NodeJS_DeleteHttpRequestService,CAST_ResourceService
CAST_NodeJS_DeleteHttpRequestService,CAST_DeleteResourceService
CAST_NodeJS_DeleteOperation,CAST_WebService_Operation
CAST_NodeJS_DeleteOperation,CAST_WebService_DeleteOperation
CAST_NodeJS_General_Call,CAST_CallToProgram
CAST_NodeJS_GetHttpRequestService,CAST_ResourceService
