internalName,color
FORMS_RDF_BP_ARC,"rgb(223, 18, 18)"
FORMS_RDF_BP_IMAGE,"rgb(223, 18, 18)"
FORMS_RDF_BP_UNKNOWN,"rgb(223, 18, 18)"
FORMS_RDF_BUTTON,"rgb(223, 18, 18)"
FORMS_RDF_CHART,"rgb(223, 18, 18)"
JSP_BEAN_TILES_DEF,"rgb(42, 98, 119)"
JSP_BEAN_PROP_TILES_DEF_ATTRIBUTE,"rgb(42, 98, 119)"
JV_TYPEPARAM,"rgb(176, 114, 1)"
BO_WEBI_DOCUMENT,"rgb(23, 111, 178)"
BO_REPORT,"rgb(23, 111, 178)"
BO_DATA_FILE,"rgb(23, 111, 178)"
BO_DATA_SQL,"rgb(23, 111, 178)"
BO_DATA_PROC,"rgb(23, 111, 178)"
BO_DATA_VBA,"rgb(23, 111, 178)"
BO_DATA_XML,"rgb(23, 111, 178)"
BO_DATA_OLAP,"rgb(23, 111, 178)"
FORMS_RDF_DATA_MODEL,"rgb(223, 18, 18)"
JV_JDO,"rgb(181, 26, 0)"
JSP_GENERIC,"rgb(42, 98, 119)"
CAST_Web_COMObjetsDirectory,"rgb(227, 76, 2)"
CAST_Web_GlobalVariablesDirectory,"rgb(148, 0, 255)"
COBOL_PSB,"rgb(97, 36, 219)"
COBOL_DBD,"rgb(97, 36, 219)"
CAST_IMS_SegmentPrototype,"rgb(101, 41, 198)"
CAST_IMS_Folder,"rgb(101, 41, 198)"
CAST_IMS_SavedDatabase,"rgb(36, 167, 219)"
CAST_IMS_AnalyzedSegment,"rgb(101, 41, 198)"
CAST_IMS_AnalyzedProgramSpecificationBlock,"rgb(101, 41, 198)"
CAST_IMS_DatabaseProgramControlBlock,"rgb(36, 167, 219)"
FORMS_RDF_MODULE,"rgb(223, 18, 18)"
FORMS_RDF_PROGRAM_UNIT,"rgb(223, 18, 18)"
FORMS_RDF_PREDEFINED_SOURCE,"rgb(223, 18, 18)"
FORMS_RDF_SYSTEM_PARAMETER,"rgb(223, 18, 18)"
FORMS_RDF_USER_PARAMETER,"rgb(223, 18, 18)"
FORMS_RDF_QUERY,"rgb(223, 18, 18)"
FORMS_RDF_EXT_FILE_QUERY,"rgb(223, 18, 18)"
FORMS_RDF_REF_CURSOR_QUERY,"rgb(223, 18, 18)"
CAST_COBOL_SavedConstantData,"rgb(97, 36, 219)"
CAST_COBOL_GenericData,"rgb(97, 36, 219)"
CAST_COBOL_SavedDivision,"rgb(97, 36, 219)"
CAST_IMS_AlternateProgramControlBlock,"rgb(97, 36, 219)"
CAST_COBOL_SavedConditionalTest,"rgb(97, 36, 219)"
COBOL_CICS_FILE,"rgb(97, 36, 219)"
JV_ENUM,"rgb(176, 114, 1)"
JV_ENUM_ITEM,"rgb(176, 114, 1)"
JSP_FORWARD,"rgb(0, 77, 101)"
JSP_STXX_PIPELINE,"rgb(42, 98, 119)"
JSP_STXX_TRANSFORM,"rgb(42, 98, 119)"
JSP_STXX_TRANSFORMS_FILE,"rgb(42, 98, 119)"
C_FILESCOPEFOLDER,"rgb(243, 75, 7)"
CAST_Web_Asp_Object,"rgb(148, 0, 255)"
CAST_Web_Asp_Method,"rgb(148, 0, 255)"
CAST_Web_Asp_Property,"rgb(148, 0, 255)"
CAST_Web_Asp_Collection,"rgb(148, 0, 255)"
CAST_Web_Asp_CollectionItem,"rgb(148, 0, 255)"
CAST_Web_Constant,"rgb(227, 76, 2)"
JSP_ELFUNCTION,"rgb(42, 98, 119)"
JSP_ATTRIBUTES_SCOPE,"rgb(42, 98, 119)"
JV_INST_CLASS,"rgb(176, 114, 1)"
JV_INST_INTERFACE,"rgb(176, 114, 1)"
JV_INST_METHOD,"rgb(176, 114, 1)"
JV_INST_CTOR,"rgb(176, 114, 1)"
C_TEMPLATE_PARAM,"rgb(243, 75, 7)"
C_TEMPLATE_CLASS_INSTANCE,"rgb(243, 75, 7)"
C_TEMPLATE_FUNCTION_INSTANCE,"rgb(243, 75, 7)"
C_TEMPLATE_METHOD_INSTANCE,"rgb(243, 75, 7)"
CAST_Forms_ModuleParameter,"rgb(223, 18, 18)"
CAST_Forms_DataBlock_Relation,"rgb(223, 18, 18)"
SPRING_BEANS_FILE,"rgb(102, 156, 53)"
SPRING_BEAN,"rgb(102, 156, 53)"
XML_BEAN,"rgb(42, 98, 119)"
JV_GENERIC_METHOD,"rgb(176, 114, 1)"
JV_GENERIC_CLASS,"rgb(176, 114, 1)"
JV_GENERIC_INTERFACE,"rgb(176, 114, 1)"
JV_GENERIC_CTOR,"rgb(176, 114, 1)"
SPRING_CONTROLLER,"rgb(102, 156, 53)"
