id,typnam,familyicon,genericicon,typdsc
1600284,PSoft_ActivityWorklist,,ProcessBlue,PeopleSoft ActivityWorklist
1600285,PSoft_ActivityEmail,,ProcessBlue,PeopleSoft ActivityEmail
1600286,PSoft_ActivityReport,,ProcessBlue,PeopleSoft ActivityReport
1600287,PSoft_ActivitySchedule,,ProcessBlue,PeopleSoft ActivitySchedule
1600290,PSoft_User,,,PeopleSoft User
1600291,PSoft_Role,,,PeopleSoft Role
1600300,PSoft_Process,,,PeopleSoft Process
1600301,PSoft_ProcessGroup,,,PeopleSoft ProcessGroup
1600330,PSoft_ProcessJob,,,PeopleSoft ProcessJob
1600350,PSoft_MessageSet,,,PeopleSoft Message Set
1600351,PSoft_MessageCatalog,,,PeopleSoft Message Catalog
1600400,PSoft_SQL,SQLNamedQuery,SQLNamedQuery,PeopleSoft SQL
1600410,PSoft_FileLayout,File,File_UIXML,PeopleSoft File Layout
1600420,PSoft_ComponentInterface,,,PeopleSoft Component Interface
1600421,PSoft_ComponentInterfaceGetKey,,,PeopleSoft CI GetKey
1600422,PSoft_ComponentInterfaceCreateKey,,,PeopleSoft CI CreateKey
1600423,PSoft_ComponentInterfaceFindKey,,,PeopleSoft CI FindKey
1600424,PSoft_ComponentInterfaceCollection1,,,PeopleSoft CI Collection Level 1
1600425,PSoft_ComponentInterfaceCollection2,,,PeopleSoft CI Collection Level 2
1600426,PSoft_ComponentInterfaceCollection3,,,PeopleSoft CI Collection Level 3
1600427,PSoft_ComponentInterfaceProp0,,,PeopleSoft CI Property Level 0
1600428,PSoft_ComponentInterfaceUserProp0,,,PeopleSoft CI User Property Level 0
1600430,PSoft_AEStandard,,,PeopleSoft Application Engine Standard
1600431,PSoft_AEUpgradeOnly,,,PeopleSoft Application Engine Ugdrade Only
1600432,PSoft_AEImportOnly,,,PeopleSoft Application Engine Import Only
1600433,PSoft_AEDeamonOnly,,,PeopleSoft Application Engine Deamon Only
1600434,PSoft_AETransformOnly,,,PeopleSoft Application Engine Transform Only
1600440,PSoft_AESection,,,PeopleSoft Application Engine Section
1600441,PSoft_AESectionMarket,,,PeopleSoft Application Engine Section Market
1600442,PSoft_AEStep,,,PeopleSoft Application Engine Step
1600443,PSoft_AEActionCall,,,PeopleSoft Application Engine Action Call
1600444,PSoft_AEActionXSLT,,,PeopleSoft Application Engine Action XSLT
1600445,PSoft_AEActionMessage,,,PeopleSoft Application Engine Action Message
1600446,PSoft_AEActionSQL,,,PeopleSoft Application Engine Action SQL
1600447,PSoft_AEActionP,,,PeopleSoft Application Engine Action Peoplecode
1600450,PSoft_MessageNode,Service,ServiceGreen,PeopleSoft Message Node
1600460,PSoft_MsgChannel,,,PeopleSoft Message Channel
1600470,PSoft_Message,,,PeopleSoft Message
1600471,PSoft_MsgSubscription,,,PeopleSoft Message Subscription
1600490,PSoft_MessageEvent,,,PeopleSoft Message Event
1600500,PSoft_SubscriptionEvent,,,PeopleSoft Subscription Event
1600520,PSoft_CompInterfaceEvent,,,PeopleSoft CompInterface Event
1600521,PSoft_ComponentInterfaceProp1,,,PeopleSoft CI Property Level 1
1600522,PSoft_ComponentInterfaceUserProp1,,,PeopleSoft CI User Property Level 1
1600523,PSoft_ComponentInterfaceProp2,,,PeopleSoft CI Property Level 2
1600524,PSoft_ComponentInterfaceUserProp2,,,PeopleSoft CI User Property Level 2
1600525,PSoft_ComponentInterfaceProp3,,,PeopleSoft CI Property Level 3
1600526,PSoft_ComponentInterfaceUserProp3,,,PeopleSoft CI User Property Level 3
1600527,PSoft_CompIntPropEvent1,,,PeopleSoft CI Property Level 0  Event
1600528,PSoft_CompIntPropEvent2,,,PeopleSoft CI Property Level 1  Event
1600529,PSoft_CompIntPropEvent3,,,PeopleSoft CI Property Level 2  Event
1600540,PSoft_PageEvent,,,PeopleSoft Page Event
1600560,PSoft_ComponentEvent,,,PeopleSoft Component Event
1600570,PSoft_ComponentRecordEvent,,,PeopleSoft ComponentRecord Event
1600580,PSoft_ComponentRecordFieldEvent,,,PeopleSoft ComponentRecordField Event
1600600,PSoft_StyleSheet,,,PeopleSoft StyleSheet
1600610,PSoft_HTML,File,File_HTML,PeopleSoft HTML
1600620,PSoft_PermissionList,,,PeopleSoft Permission List
1600621,PSoft_AuthItem,,,PeopleSoft Authentication Item
1600622,PSoft_AuthBusComp,,,PeopleSoft Permission Component Interface
1600623,PSoft_AuthCnhlMon,,,PeopleSoft Authentication CnhlMon
1600624,PSoft_AuthWS,,,PeopleSoft Authentication WebService
1600625,PSoft_AuthQueueMon,,Queue,PeopleSoft Authentication Queue Monitor
1600626,PSoft_AuthOptn,,,PeopleSoft Authentication Option
1600627,PSoft_AuthCube,,,PeopleSoft Authentication Cube
1600628,PSoft_AuthMP,,,PeopleSoft Authentication Mobile Page
1600629,PSoft_AuthPrcs,,,PeopleSoft Authentication Process
1600630,PSoft_AuthBusCompAction,,,PeopleSoft Permission CI Method
1600640,PSoft_PortalRegistry,,,PeopleSoft Portal Registry
1600650,PSoft_PortalFolder,Folder,FolderLightBlue,PeopleSoft Portal Folder
1600651,PSoft_PortalContentReference,,,PeopleSoft Portal Content Reference
1600660,PSoft_URL,,,PeopleSoft URL
1600670,PSoft_AppPackage,Package,PackageRed,PeopleSoft Application Package
1600671,PSoft_AppClass,Class,Class,PeopleSoft Application Class
1600673,PSoft_AppMethod,,,PeopleSoft Application Method
1600674,PSoft_Package,,,PeopleSoft Package
1600675,PSoft_SubPackage,,,PeopleSoft SubPackage
1600740,PSoft_MobilePage,,,PeopleSoft Mobile Page
1600999,PSoft_PeopleCodeFunction,Function,FunctionBlue,PeopleSoft PeopleCodeFunction
1677100,CAST_MYBATIS_DOTNET_SQLNAMEDQUERY,SQLNamedQuery,SQLNamedQuery,MYBATIS DOTNET SQLNAMEDQUERY
2015006,Eztprogram,Program,Program,Easytrieve Program
